price,market_cap,volume,change_24h,time
68121,1363936939015,40080049510,2.40191,2026-03-31 08:42:27.741233
68111,1363936939015,40081487073,2.38758,2026-03-31 08:43:09.983461
67897,1361104124237,41091662696,1.75018,2026-03-31 08:46:18.200967
67886,1361104124237,40847730572,1.73378,2026-03-31 08:48:10.043194
67821,1357046212641,40929793784,1.85378,2026-03-31 08:53:33.404073
68201,1365196330455,56009588577,2.25195,2026-04-01 07:00:31.605038
68094,1362518084783,56123058222,2.11486,2026-04-01 07:04:17.555113
68136,1362518084783,56213823922,2.21885,2026-04-01 07:06:32.614351
68139,1362518084783,56254753893,2.22289,2026-04-01 07:08:55.034539
68139,1362518084783,56254753893,2.22289,2026-04-01 07:09:01.739367
